Batch_Idx,Avg_Reward,Loss_Job,Loss_Mch,Val_Makespan,Time
0,-1412.3357,2.4827,0.8741,0.0000,10.83
1,-1398.1269,2.0006,0.0692,0.0000,10.07
2,-1493.5431,1.9327,0.0366,0.0000,10.30
3,-1367.7114,1.9670,-0.0166,0.0000,9.98
4,-1414.0364,1.9582,-0.0254,0.0000,10.37
5,-1418.3958,1.9013,-0.0218,0.0000,10.39
6,-1444.1419,1.8711,-0.0246,0.0000,9.99
7,-1408.4477,1.5864,-0.0445,0.0000,10.04
8,-1388.8528,1.6917,-0.0317,0.0000,10.36
9,-1452.3946,1.3233,-0.0312,0.0000,10.17
10,-1371.5766,1.2178,-0.0301,0.0000,10.25
11,-1378.3135,0.9852,0.0070,0.0000,9.85
12,-1381.1080,0.9433,-0.0189,0.0000,10.25
13,-1426.2278,0.8465,-0.0427,0.0000,9.95
14,-1420.4886,0.9449,-0.0151,0.0000,10.43
15,-1383.2780,0.7466,0.0008,0.0000,10.39
16,-1444.4064,0.7125,0.0066,0.0000,10.22
17,-1408.3916,0.6582,-0.0156,0.0000,10.07
18,-1429.9294,0.3277,-0.0221,0.0000,10.24
19,-1424.5109,0.4547,-0.0457,1117.2633,10.29
20,-1388.9843,0.2381,-0.0274,0.0000,58.23
21,-1373.8326,0.3282,-0.0159,0.0000,9.71
22,-1417.4857,0.2273,-0.0118,0.0000,10.17
23,-1407.6651,0.2353,-0.0142,0.0000,10.18
24,-1398.6690,0.2639,-0.0129,0.0000,10.24
25,-1429.3069,0.2157,-0.0138,0.0000,10.18
26,-1426.8473,0.2666,0.0003,0.0000,10.27
27,-1412.0997,0.1480,-0.0223,0.0000,10.22
28,-1449.2217,0.1156,-0.0391,0.0000,10.43
29,-1419.8697,0.1692,-0.0028,0.0000,9.92
30,-1410.8477,0.1878,-0.0342,0.0000,10.35
31,-1440.3750,0.1679,-0.0256,0.0000,9.79
32,-1378.8480,0.2097,-0.0232,0.0000,10.16
33,-1483.9526,0.1421,-0.0267,0.0000,10.08
34,-1461.1564,0.1039,-0.0246,0.0000,10.46
35,-1418.8647,0.1268,-0.0268,0.0000,10.64
36,-1444.1144,0.1111,-0.0669,0.0000,10.26
37,-1583.0375,0.2941,0.0132,0.0000,10.54
38,-1489.1625,0.1623,-0.0130,0.0000,10.54
39,-1500.3703,0.2172,-0.0030,1357.8721,10.34
40,-1506.1263,0.1545,-0.0134,0.0000,60.99
41,-1528.6764,0.1211,-0.0256,0.0000,9.78
42,-1456.2764,0.0675,-0.0329,0.0000,10.25
43,-1479.9868,0.0723,-0.0253,0.0000,10.35
44,-1423.0701,0.0611,-0.0384,0.0000,10.42
45,-1462.6306,0.1234,-0.0404,0.0000,10.16
46,-1458.2808,0.1172,-0.0471,0.0000,10.27
47,-1445.2762,0.1428,-0.0097,0.0000,10.28
48,-1431.7656,0.0861,0.0281,0.0000,10.25
49,-1486.7677,0.0565,-0.0605,0.0000,10.28
50,-1531.0258,0.0726,-0.0549,0.0000,10.52
51,-1514.2345,0.0695,-0.0464,0.0000,9.78
52,-1548.1675,0.0487,-0.0681,0.0000,9.95
53,-1519.9966,0.0236,-0.0441,0.0000,10.17
54,-1515.3342,0.0454,-0.0717,0.0000,10.32
55,-1661.8530,0.0524,-0.0272,0.0000,9.97
56,-1628.9311,0.0680,-0.0417,0.0000,10.09
57,-1576.8280,0.0652,-0.0142,0.0000,10.22
58,-1535.8620,0.0857,-0.0158,0.0000,10.22
59,-1647.9745,0.0604,-0.0455,1429.6514,10.00
60,-1559.2054,0.0303,-0.0258,0.0000,60.28
61,-1599.4340,0.0460,-0.0825,0.0000,9.63
62,-1527.3094,0.0199,-0.0308,0.0000,10.52
63,-1595.2300,0.0303,-0.0363,0.0000,10.18
64,-1583.5086,0.0235,-0.0513,0.0000,10.19
65,-1597.9793,0.0405,-0.0364,0.0000,10.04
66,-1554.1467,0.0247,-0.0474,0.0000,10.30
67,-1552.6346,0.0427,-0.0021,0.0000,10.17
68,-1563.5641,0.0503,-0.0754,0.0000,9.93
69,-1495.9050,0.0397,-0.0636,0.0000,10.32
70,-1598.7880,0.0347,-0.0828,0.0000,10.67
71,-1552.8514,0.0224,-0.0721,0.0000,9.67
72,-1575.6031,0.0331,-0.0635,0.0000,10.12
73,-1685.5441,0.0264,-0.0805,0.0000,10.21
74,-1544.7712,0.0316,-0.0617,0.0000,10.17
75,-1623.3131,0.0496,-0.0619,0.0000,10.13
76,-1485.1646,0.0287,-0.1011,0.0000,10.41
77,-1482.6505,0.0106,0.0401,0.0000,10.41
78,-1529.3352,0.0214,-0.0037,0.0000,10.31
79,-1437.2723,0.0211,-0.0411,989.3869,10.37
80,-1530.6110,0.0198,-0.0451,0.0000,59.06
81,-1482.2332,0.0213,-0.0667,0.0000,9.65
82,-1578.1168,0.0296,-0.0713,0.0000,10.42
83,-1480.1659,0.0318,-0.0906,0.0000,10.32
84,-1422.5950,0.0152,-0.0569,0.0000,9.93
85,-1546.6123,0.2374,-0.0372,0.0000,10.32
86,-1477.9340,0.0467,-0.0170,0.0000,10.40
87,-1543.2212,0.0422,-0.0459,0.0000,10.19
88,-1471.8400,0.0379,-0.0554,0.0000,10.19
89,-1485.3090,0.0485,-0.0648,0.0000,10.17
90,-1394.0202,0.0232,-0.0438,0.0000,10.56
91,-1399.9384,0.0200,-0.0844,0.0000,9.48
92,-1317.5402,0.0411,-0.0448,0.0000,10.37
93,-1344.6563,0.0719,0.2091,0.0000,10.56
94,-1454.6298,0.0573,-0.0038,0.0000,10.09
95,-1396.4028,0.2765,-0.0680,0.0000,10.14
96,-1501.5855,0.1213,0.0278,0.0000,10.40
97,-1363.8565,0.1986,0.1051,0.0000,10.28
98,-1302.7340,0.0837,-0.0191,0.0000,10.12
99,-1234.0521,0.0853,0.0543,663.4439,10.40
100,-1184.8521,0.0832,0.0432,0.0000,59.37
101,-1210.8113,0.1162,0.0270,0.0000,9.96
102,-1275.2479,0.1033,-0.0919,0.0000,10.35
103,-1251.6125,0.1044,-0.0876,0.0000,10.17
104,-1244.2786,0.1098,-0.0219,0.0000,10.53
105,-1123.1002,0.0789,-0.0630,0.0000,10.47
106,-1176.5457,0.1037,-0.0215,0.0000,10.20
107,-1148.7100,0.0794,-0.0225,0.0000,9.96
108,-1222.9837,0.0547,-0.0452,0.0000,10.47
109,-1169.2497,0.0938,-0.0715,0.0000,10.50
110,-1145.3188,0.0800,0.0112,0.0000,10.31
111,-1168.6589,0.0424,-0.0501,0.0000,9.73
112,-1156.5353,0.0343,-0.0577,0.0000,10.42
113,-1129.8497,0.0291,-0.0814,0.0000,10.28
114,-1166.7687,0.0249,-0.0623,0.0000,10.07
115,-1117.1666,0.0553,-0.0602,0.0000,10.60
116,-1165.7351,0.1091,-0.0703,0.0000,10.33
117,-1125.3340,0.0645,-0.0539,0.0000,10.14
118,-1157.0757,0.0357,-0.0430,0.0000,10.22
119,-1134.3017,0.0153,-0.0460,1196.2042,10.50
120,-1123.2986,0.0363,-0.0499,0.0000,60.75
121,-1188.5917,0.0292,-0.0437,0.0000,9.96
122,-1123.4060,0.0092,-0.0590,0.0000,10.23
123,-1140.1648,0.0171,-0.0477,0.0000,9.96
124,-1121.3499,0.0177,-0.0808,0.0000,10.21
125,-1031.7698,0.0113,-0.0784,0.0000,10.28
126,-1091.9561,0.0734,-0.0389,0.0000,10.00
127,-1034.6079,0.0353,-0.0264,0.0000,10.16
128,-1034.9380,0.0883,0.0002,0.0000,10.23
129,-1075.7868,0.0373,0.0254,0.0000,10.06
130,-1044.2803,0.0342,0.0028,0.0000,10.33
131,-1144.1555,0.0187,-0.0296,0.0000,9.93
132,-1110.1120,0.0262,-0.0582,0.0000,10.34
133,-1075.4685,0.0287,-0.0579,0.0000,9.93
134,-1071.0936,0.0441,-0.0387,0.0000,10.21
135,-1142.4262,0.0730,0.0765,0.0000,10.39
136,-1131.2189,0.0521,0.0462,0.0000,10.08
137,-1126.1674,0.0656,-0.0262,0.0000,10.13
138,-1059.3777,0.0377,-0.0388,0.0000,10.35
139,-1017.7658,0.0225,-0.0430,1204.5432,10.22
140,-998.6151,0.0382,-0.0786,0.0000,61.28
141,-1031.3163,0.0266,0.0132,0.0000,10.43
142,-1059.4084,0.0251,-0.0704,0.0000,10.73
143,-1031.3869,0.0432,0.0651,0.0000,11.09
144,-1126.3956,0.0323,0.1139,0.0000,10.92
145,-1102.8089,0.0246,0.0104,0.0000,10.94
146,-1041.8018,0.0163,-0.0618,0.0000,11.37
147,-1054.1650,0.0192,-0.0002,0.0000,11.17
148,-981.4157,0.0184,-0.0777,0.0000,10.55
149,-1094.8250,0.0371,-0.0633,0.0000,10.63
150,-1046.8548,0.0182,-0.0724,0.0000,11.16
151,-1086.2665,0.0269,-0.0307,0.0000,10.18
152,-1068.3965,0.0279,-0.0330,0.0000,10.53
153,-1084.1488,0.0414,0.0077,0.0000,11.12
154,-1065.4144,0.0255,-0.0777,0.0000,10.99
155,-1025.5490,0.0117,-0.0580,0.0000,10.43
156,-1044.6241,0.0161,-0.0639,0.0000,10.51
157,-1004.3153,0.0323,-0.0369,0.0000,10.42
158,-1006.7748,0.0305,-0.0391,0.0000,10.11
159,-967.7728,0.0193,-0.0526,1044.5694,10.54
160,-1023.4063,0.0197,-0.0066,0.0000,63.41
161,-978.8219,-0.0003,-0.0379,0.0000,10.06
162,-1066.2638,0.0563,-0.0523,0.0000,10.31
163,-1021.4661,0.0214,-0.0354,0.0000,10.23
164,-989.9829,0.0361,-0.0631,0.0000,10.09
165,-1004.1370,0.0131,-0.0189,0.0000,10.33
166,-1040.2383,0.0282,-0.0472,0.0000,10.28
167,-1021.2278,0.0158,-0.0497,0.0000,10.10
168,-989.8746,0.0169,-0.0655,0.0000,10.31
169,-1038.2929,0.0240,-0.0639,0.0000,10.39
170,-1052.4961,0.0182,-0.0714,0.0000,10.30
171,-1094.2872,0.0147,-0.0558,0.0000,9.62
172,-1029.6848,0.0037,-0.0649,0.0000,10.22
173,-1025.4642,0.0151,-0.0863,0.0000,10.27
174,-1021.2113,0.0099,-0.0667,0.0000,10.03
175,-1028.9137,0.0124,-0.0549,0.0000,10.50
176,-932.3887,0.0188,-0.0565,0.0000,10.29
177,-994.4376,0.0098,-0.0783,0.0000,9.99
178,-1037.4788,0.0074,-0.0553,0.0000,9.96
179,-977.8032,0.0145,-0.0364,992.5995,10.29
180,-937.9409,0.0202,-0.0414,0.0000,61.12
181,-936.4985,0.0167,-0.0726,0.0000,9.87
182,-942.2246,0.0558,-0.0457,0.0000,10.11
183,-892.3466,0.0262,-0.0101,0.0000,10.09
184,-930.3394,0.0974,0.0079,0.0000,10.43
