Batch_Idx,Avg_Reward,Loss_Job,Loss_Mch,Val_Makespan,Time
0,-4602.2894,1.7535,-0.0018,0.0000,10.91
1,-3405.3612,1.7457,0.0066,0.0000,9.90
2,-3370.3916,1.5125,0.0702,0.0000,10.76
3,-3059.6874,1.3922,-0.0271,0.0000,10.15
4,-3109.8398,1.1732,-0.0782,0.0000,10.70
5,-3520.5992,1.0850,-0.0571,0.0000,10.76
6,-2949.9817,0.9405,-0.1012,0.0000,10.76
7,-3324.0327,1.0958,-0.0448,0.0000,10.60
8,-2784.5633,0.6406,-0.0574,0.0000,10.54
9,-2242.5537,0.5779,-0.0838,0.0000,11.05
10,-1513.0225,1.3625,0.0148,0.0000,10.99
11,-1388.0267,1.2909,0.1752,0.0000,9.96
12,-1622.7078,0.6124,-0.0249,0.0000,10.11
13,-1612.7285,0.5503,-0.0659,0.0000,10.71
14,-1607.0852,0.3622,-0.0441,0.0000,10.16
15,-1889.6043,0.3672,-0.0844,0.0000,10.17
16,-2076.4893,0.2283,-0.0842,0.0000,10.87
17,-1992.7019,0.3747,-0.0761,0.0000,10.37
18,-1802.2049,0.2810,-0.0790,0.0000,9.77
19,-2055.9662,0.3405,-0.0718,367.1222,10.65
20,-1842.2162,0.3154,-0.0988,0.0000,59.95
21,-2079.5296,0.3527,-0.0774,0.0000,10.07
22,-1601.7134,0.3382,-0.0670,0.0000,11.52
23,-1639.4393,0.2920,-0.0799,0.0000,9.83
24,-1634.5028,0.2857,-0.1105,0.0000,9.92
25,-1706.7325,0.2426,-0.0495,0.0000,10.06
26,-1609.0765,0.1992,-0.0698,0.0000,10.67
27,-1582.8731,0.1748,-0.1092,0.0000,10.69
28,-1606.9709,0.1953,-0.1233,0.0000,10.59
29,-1286.1178,0.1719,-0.0596,0.0000,9.83
30,-1116.4641,0.4810,-0.0914,0.0000,9.87
31,-1313.4985,0.2891,-0.0974,0.0000,9.51
32,-1095.8287,0.2799,-0.0585,0.0000,10.66
33,-1148.2504,0.1822,-0.0825,0.0000,10.60
34,-1382.9929,0.1833,-0.0889,0.0000,9.78
35,-1197.0280,0.1452,-0.0729,0.0000,10.86
36,-1181.5669,0.1983,-0.0844,0.0000,10.35
37,-1250.6560,0.1609,-0.0668,0.0000,9.64
38,-2200.5939,0.3676,-0.0570,0.0000,10.34
39,-1985.6572,0.3901,-0.0318,1624.3821,11.10
40,-1088.6792,0.2410,-0.0217,0.0000,62.56
41,-2233.0110,0.3870,0.0237,0.0000,10.43
42,-2284.0942,0.1988,-0.0777,0.0000,10.41
43,-2366.6046,0.1822,-0.0490,0.0000,9.86
44,-2234.4813,0.1564,-0.0650,0.0000,10.75
45,-1873.6652,0.1967,-0.0812,0.0000,10.35
46,-2275.4022,0.2505,-0.0590,0.0000,9.92
47,-1542.6507,0.2150,-0.0720,0.0000,10.65
48,-1678.9095,0.1638,-0.0545,0.0000,10.45
49,-2256.6276,0.2225,-0.0480,0.0000,9.84
50,-2162.0289,0.2213,-0.0562,0.0000,11.03
51,-2175.1228,0.3137,-0.0450,0.0000,10.15
52,-1741.9770,0.1623,-0.0663,0.0000,9.70
53,-1515.7641,0.2412,-0.0552,0.0000,10.79
54,-1425.1005,0.1497,-0.0682,0.0000,10.50
55,-1553.0142,0.1776,-0.0756,0.0000,10.67
56,-1727.5627,0.1206,-0.0710,0.0000,10.81
57,-2062.4643,0.1288,-0.0557,0.0000,10.81
58,-1195.7028,0.2589,-0.0634,0.0000,10.57
59,-1097.0291,0.1329,-0.0549,354.2021,9.63
60,-1131.3452,0.1199,-0.0758,0.0000,60.12
61,-1290.9392,0.1362,-0.0993,0.0000,9.43
62,-1022.8820,0.1017,-0.0677,0.0000,10.68
63,-1023.9535,0.1367,-0.0926,0.0000,10.52
64,-912.2698,0.0951,-0.0646,0.0000,9.90
65,-875.8818,0.1581,-0.0535,0.0000,10.18
66,-914.9226,0.1075,-0.0634,0.0000,10.57
67,-760.2811,0.1277,-0.0711,0.0000,10.02
68,-699.4371,0.1657,-0.0770,0.0000,9.74
69,-819.8190,0.1228,-0.0334,0.0000,10.71
70,-738.8841,0.2183,-0.0631,0.0000,10.79
71,-750.9234,0.1159,-0.0780,0.0000,9.47
72,-652.9196,0.0998,-0.0695,0.0000,10.77
73,-656.0392,0.1096,-0.0323,0.0000,10.60
74,-598.0913,0.1183,-0.0833,0.0000,10.09
75,-636.9156,0.1457,-0.0678,0.0000,10.36
76,-642.2347,0.0981,-0.0677,0.0000,10.55
77,-655.2030,0.1247,-0.0487,0.0000,10.79
78,-657.6568,0.1153,-0.0806,0.0000,10.65
79,-633.5671,0.1480,-0.0517,938.9312,10.09
80,-579.4711,0.0663,-0.0607,0.0000,61.77
81,-581.6850,0.0709,-0.0700,0.0000,9.56
82,-624.5668,0.0896,-0.0617,0.0000,10.66
83,-569.2969,0.2248,-0.0169,0.0000,10.38
84,-445.9402,0.7837,-0.0549,0.0000,9.81
85,-617.4135,0.1056,-0.0528,0.0000,10.85
86,-591.1968,0.0684,-0.0721,0.0000,10.35
87,-643.3948,0.0858,-0.0947,0.0000,9.70
88,-677.1186,0.1925,-0.0883,0.0000,10.95
89,-677.6544,0.1571,-0.0442,0.0000,11.17
90,-759.0321,0.1307,-0.0768,0.0000,10.00
91,-719.1631,0.3364,0.0172,0.0000,9.68
92,-631.7367,0.3799,-0.0319,0.0000,10.08
93,-588.7824,0.2398,-0.0427,0.0000,10.77
94,-629.3347,0.2941,0.0067,0.0000,10.72
95,-496.7563,0.7485,-0.0392,0.0000,10.40
96,-521.3444,0.2277,-0.0454,0.0000,9.85
97,-552.5341,0.2370,-0.0190,0.0000,9.89
98,-521.7602,0.2075,-0.0150,0.0000,9.93
99,-484.4836,0.1161,-0.0532,585.4993,10.02
100,-500.3162,0.1147,-0.0605,0.0000,60.71
101,-477.0441,0.1797,-0.0524,0.0000,10.35
102,-432.0595,0.0668,-0.0570,0.0000,10.32
103,-482.5394,0.1735,-0.0199,0.0000,10.36
104,-461.1073,0.0913,-0.0301,0.0000,11.17
105,-515.0432,0.0931,-0.0379,0.0000,10.24
106,-457.6740,0.1017,-0.0589,0.0000,10.51
107,-454.7023,0.1530,-0.0494,0.0000,10.26
108,-472.9574,0.0931,-0.0393,0.0000,10.33
109,-476.0983,0.1352,-0.0387,0.0000,10.43
110,-483.6701,0.0879,-0.0623,0.0000,10.40
111,-469.4943,0.0978,-0.0477,0.0000,9.61
112,-478.9339,0.0948,-0.0388,0.0000,10.66
113,-412.2996,0.2565,-0.0099,0.0000,10.55
114,-495.4555,0.1302,-0.0157,0.0000,9.98
115,-542.7120,0.1043,-0.0379,0.0000,10.74
116,-553.9085,0.1792,-0.0631,0.0000,10.26
117,-522.2986,0.1212,-0.0514,0.0000,10.40
118,-519.5171,0.1173,-0.0349,0.0000,11.08
119,-569.3362,0.0992,-0.0480,353.4547,10.18
120,-543.0605,0.0797,-0.0491,0.0000,61.04
121,-548.6095,0.0695,-0.0504,0.0000,9.77
122,-541.5427,0.0634,-0.0488,0.0000,9.90
123,-560.6679,0.0741,-0.0407,0.0000,10.76
124,-519.1314,0.0964,-0.0347,0.0000,10.31
125,-501.0537,0.0929,-0.0341,0.0000,9.73
126,-522.9872,0.0705,-0.0454,0.0000,10.73
127,-497.9625,0.1255,-0.0345,0.0000,10.86
128,-491.8973,0.0854,-0.0246,0.0000,9.69
129,-466.5966,0.0518,-0.0471,0.0000,9.82
130,-479.6107,0.0754,-0.0229,0.0000,10.95
131,-448.9178,0.0768,-0.0354,0.0000,10.03
132,-473.8138,0.0751,-0.0431,0.0000,9.80
133,-484.9144,0.1205,-0.0301,0.0000,10.36
134,-442.8262,0.0824,-0.0343,0.0000,10.64
135,-442.8829,0.1418,-0.0339,0.0000,9.97
136,-425.5476,0.1173,-0.0327,0.0000,9.93
137,-420.0093,0.0971,-0.0299,0.0000,10.80
138,-442.4568,0.1177,-0.0188,0.0000,10.29
139,-429.3396,0.1612,-0.0544,357.3801,9.73
140,-427.9149,0.2686,-0.0205,0.0000,59.86
141,-435.5239,0.1617,-0.0312,0.0000,9.32
142,-421.5992,0.1740,-0.0257,0.0000,9.89
143,-438.8805,0.1437,-0.0165,0.0000,10.60
144,-482.0554,0.1393,-0.0249,0.0000,10.51
145,-431.0884,0.0918,-0.0290,0.0000,9.85
146,-428.9177,0.0690,-0.0210,0.0000,10.65
147,-457.4527,0.1165,-0.0342,0.0000,10.48
148,-438.7014,0.1044,-0.0320,0.0000,9.67
149,-404.1992,0.0985,-0.0259,0.0000,10.24
150,-439.8020,0.1295,0.1243,0.0000,10.82
151,-400.4330,0.1289,0.0062,0.0000,9.43
152,-398.8094,0.1495,-0.0235,0.0000,10.19
153,-412.8380,0.1713,-0.0300,0.0000,10.80
154,-412.1070,0.2912,-0.0091,0.0000,10.31
155,-437.8912,0.2329,-0.0215,0.0000,10.02
156,-384.2717,0.1198,-0.0210,0.0000,10.71
157,-426.6726,0.1335,-0.0282,0.0000,10.27
158,-425.3956,0.1872,-0.0129,0.0000,9.70
159,-410.1311,0.2167,-0.0114,371.2890,9.93
160,-416.7711,0.1488,-0.0226,0.0000,59.51
161,-414.3380,0.1360,-0.0143,0.0000,10.10
162,-416.2461,0.0801,-0.0247,0.0000,9.87
163,-436.8869,0.1382,-0.0252,0.0000,9.80
164,-404.3035,0.1508,-0.0213,0.0000,9.93
165,-366.1897,0.1405,-0.0238,0.0000,9.89
166,-409.8911,0.1290,-0.0317,0.0000,9.86
167,-397.8192,0.1346,-0.0081,0.0000,9.84
168,-379.6826,0.2092,-0.0157,0.0000,9.95
169,-402.4625,0.0745,-0.0197,0.0000,9.84
170,-402.1525,0.1183,-0.0226,0.0000,10.82
171,-405.1155,0.1138,-0.0180,0.0000,10.03
172,-402.8682,0.0922,-0.0206,0.0000,10.08
173,-381.8006,0.1433,-0.0189,0.0000,9.93
174,-399.9205,0.1329,-0.0268,0.0000,10.39
175,-380.9967,0.1823,-0.0091,0.0000,10.65
176,-372.9769,0.0893,-0.0095,0.0000,10.23
177,-403.9863,0.1534,-0.0365,0.0000,10.46
178,-367.3117,0.2793,0.0054,0.0000,10.30
179,-409.1552,0.1191,-0.0099,364.0359,9.97
180,-420.8952,0.1169,-0.0188,0.0000,59.43
181,-406.8446,0.1690,-0.0251,0.0000,9.90
182,-368.3494,0.0977,-0.0291,0.0000,10.61
183,-382.3185,0.0646,-0.0210,0.0000,10.17
184,-396.4679,0.0935,-0.0248,0.0000,9.89
185,-419.6287,0.1413,-0.0333,0.0000,10.92
186,-397.9617,0.1359,-0.0059,0.0000,10.63
187,-413.5279,0.1241,-0.0236,0.0000,10.52
188,-382.5655,0.1769,-0.0294,0.0000,10.71
189,-382.6176,0.1169,-0.0344,0.0000,10.06
190,-419.8934,0.0785,-0.0334,0.0000,10.62
191,-414.9492,0.1116,-0.0127,0.0000,10.01
192,-481.9150,0.1606,-0.0308,0.0000,10.91
193,-385.9525,0.1006,-0.0340,0.0000,10.56
194,-394.9051,0.1578,-0.0382,0.0000,9.96
195,-400.0146,0.1978,-0.0392,0.0000,10.69
196,-445.5033,0.1069,-0.0213,0.0000,10.30
197,-424.1025,0.0636,-0.0130,0.0000,9.65
198,-402.4607,0.1004,-0.0232,0.0000,9.93
199,-414.2616,0.1041,-0.0310,382.6968,10.72
200,-404.6012,0.1163,-0.0330,0.0000,58.85
201,-438.3016,0.1609,-0.0303,0.0000,9.82
202,-388.5562,0.1084,-0.0216,0.0000,10.32
203,-406.1622,0.1022,-0.0341,0.0000,10.69
204,-375.1310,0.1181,-0.0230,0.0000,9.84
205,-398.8359,0.1585,-0.0322,0.0000,10.44
206,-407.2880,0.1132,-0.0295,0.0000,10.60
207,-442.3475,0.1903,-0.0298,0.0000,10.33
208,-404.5387,0.1386,-0.0165,0.0000,10.75
209,-402.5576,0.1103,-0.0234,0.0000,9.84
210,-410.7609,0.1126,-0.0409,0.0000,10.35
211,-401.6256,0.1803,-0.0183,0.0000,10.36
212,-392.5371,0.1295,-0.0169,0.0000,10.29
213,-377.6514,0.1512,-0.0264,0.0000,9.80
214,-431.0538,0.1442,-0.0200,0.0000,10.75
215,-383.2825,0.1582,-0.0259,0.0000,10.55
216,-388.8004,0.1600,0.0186,0.0000,10.17
217,-408.7969,0.1158,-0.0151,0.0000,10.78
218,-370.5352,0.1936,-0.0349,0.0000,10.16
219,-360.9435,0.1364,-0.0128,362.9294,10.54
220,-386.2646,0.0929,-0.0223,0.0000,58.90
221,-367.3794,0.1159,-0.0230,0.0000,10.28
222,-384.7239,0.1262,-0.0239,0.0000,10.40
223,-371.6376,0.1110,-0.0133,0.0000,10.04
224,-412.2082,0.1909,-0.0333,0.0000,10.69
225,-397.3114,0.1622,-0.0188,0.0000,10.61
226,-383.1103,0.1769,-0.0287,0.0000,10.53
227,-404.3336,0.0981,-0.0314,0.0000,11.02
228,-414.0307,0.1493,-0.0170,0.0000,10.03
229,-366.2700,0.1002,-0.0066,0.0000,10.51
230,-385.2869,0.1318,-0.0292,0.0000,10.72
231,-352.3447,0.1653,-0.0145,0.0000,9.64
232,-351.9345,0.1455,-0.0184,0.0000,9.79
233,-384.2176,0.2727,-0.0153,0.0000,11.03
234,-374.0217,0.1247,-0.0270,0.0000,11.02
235,-381.3998,0.1661,-0.0157,0.0000,10.25
236,-380.6545,0.1473,-0.0156,0.0000,10.86
237,-353.2615,0.1687,-0.0137,0.0000,11.07
238,-382.5682,0.1503,-0.0189,0.0000,9.85
239,-354.5795,0.1192,-0.0153,352.6706,9.98
240,-359.6190,0.1187,-0.0241,0.0000,60.10
241,-348.8405,0.1172,-0.0257,0.0000,10.41
242,-357.3712,0.1837,-0.0211,0.0000,10.53
243,-352.2371,0.1653,-0.0324,0.0000,10.88
244,-359.1378,0.1539,-0.0148,0.0000,9.58
245,-365.3668,0.2416,-0.0089,0.0000,10.75
246,-378.4862,0.1510,-0.0147,0.0000,10.66
247,-371.8367,0.2247,-0.0210,0.0000,9.60
